Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Apiaceae (Umbelliferae),Cenolophium denudatum (Hornem.) Tutin,,-,+,,,,,,Poaceae (Gramineae),Agropyron pectinatum (Bieb.) Beauv. ,,-,+
Apiaceae (Umbelliferae),Chaerophyllum bulbosum L. ,,-,+,,,,,,Poaceae (Gramineae),Agropyron vinealis Schreb.  ,,-,+
Apiaceae (Umbelliferae),Conium maculatum L.,,-,+,,,,,,Caryophyllaceae ,Agrostemma githago L. ,,-,+
Apiaceae (Umbelliferae),Daucus carota L. ,,-,+,,,,,,Poaceae (Gramineae),Agrostis canina L.,Agrostis canina L., + ,+
Apiaceae (Umbelliferae),Eryngium planum L. ,,-,+,,,,,,Poaceae (Gramineae),Agrostis clavata Trin.,Agrostis clavata Trin., + ,-
Apiaceae (Umbelliferae),Falcaria vulgaris Bernh. ,,-,+,,,,,,Poaceae (Gramineae),Agrostis stolonifera L.,Agrostis stolonifera L., + ,+
Apiaceae (Umbelliferae),Ferula tatarica Fisch. ex Spreng. ,,-,+,,,,,,Poaceae (Gramineae),Agrostis tenuis Sibth.,Agrostis capillaris L., + ,+
Apiaceae (Umbelliferae),Kadenia dubia (Schkuhr) Lavrova et V. Tichom. ,,-,+,,,,,,Lamiaceae (Labiatae),Ajuga chia Schreb. ,,-,+
Apiaceae (Umbelliferae),Laser trilobum (L.) Borkh. ,,-,+,,,,,,Lamiaceae (Labiatae),Ajuga genevensis L.,,-,+
Apiaceae (Umbelliferae),Libanotis sibirica (L.) C.A. Mey. ,,-,+,,,,,,Lamiaceae (Labiatae),Ajuga reptans L.,Ajuga reptans L., + ,-
Apiaceae (Umbelliferae),Oenanthe aquatica (L.) Poir. ,,-,+,,,,,,Malvaceae ,Alcea rosea L.,,-,+
Apiaceae (Umbelliferae),Pastinaca sativa L.,,-,+,,,,,,Rosaceae,Alchemilla acutiloba Opiz,Alchemilla acutiloba Opiz, + ,-
Apiaceae (Umbelliferae),Pastinaca sylvestris Mill.,,-,+,,,,,,Rosaceae,Alchemilla altaica Juz. (= A. stenantha Juz.),Alchemilla altaica Juz., + ,-
Apiaceae (Umbelliferae),Peucedanum oreoselinum (L.) Moench ,,-,+,,,,,,Rosaceae,Alchemilla atrifolia Zamelis,Alchemilla lindbergiana Juz., + ,-
Apiaceae (Umbelliferae),Peucedanum ruthenicum Bieb. ,,-,+,,,,,,Rosaceae,Alchemilla baltica G. Sam. ex Juz.,Alchemilla baltica Sam. ex Juz., + ,+
Apiaceae (Umbelliferae),Pimpinella tragium Vill.,,-,+,,,,,,Rosaceae,Alchemilla breviloba H. Lindb.,Alchemilla breviloba H.Lindb., + ,+
