Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Brassicaceae (Cruciferae),Arabis gerardii (Bess.) Koch,,-,+,,,,,,Asteraceae (Compositae),Centaurea pseudomaculosa Dobrocz.,,-,+
Brassicaceae (Cruciferae),Arabis pendula L.,,-,+,,,,,,Asteraceae (Compositae),Centaurea pseudophrygia C.A. Mey.,Centaurea phrygia subsp. pseudophrygia (C.A.Mey.) Gugler, + ,-
Brassicaceae (Cruciferae),Arabis sagittata (Bertol.) DC.,,-,+,,,,,,Asteraceae (Compositae),Centaurea pseudophrygia C.A. Mey.,,-,+
Brassicaceae (Cruciferae),"Armoracia rusticana Gaertn., Mey. et Scherb. ",,-,+,,,,,,Asteraceae (Compositae),Centaurea ruthenica Lam.,,-,+
Brassicaceae (Cruciferae),Berteroa incana (L.) DC. ,,-,+,,,,,,Asteraceae (Compositae),Centaurea scabiosa L.,Centaurea scabiosa L., + ,+
Brassicaceae (Cruciferae),Brassica campestris L. ,,-,+,,,,,,Asteraceae (Compositae),Centaurea sumensis Kalen.,,-,+
Brassicaceae (Cruciferae),Camelina microcarpa Andrz. ,,-,+,,,,,,Asteraceae (Compositae),Centaurea trichocephala Bieb.,,-,+
Brassicaceae (Cruciferae),Camelina pilosa (DC.) N. Zing.,,-,+,,,,,,Orchidaceae,Cephalanthera rubra (L.) Rich.,,-,+
Brassicaceae (Cruciferae),Camelina sativa (L.) Crantz,,-,+,,,,,,Caryophyllaceae,Cerastium davuricum Fisch. ex Spreng.,Cerastium davuricum Fisch. ex Spreng., + ,-
Brassicaceae (Cruciferae),Camelina sylvestris Wallr.,,-,+,,,,,,Caryophyllaceae,Cerastium holosteoides Fries,Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet, + ,+
Brassicaceae (Cruciferae),Cardamine impatiens L.,,-,+,,,,,,Caryophyllaceae,Cerastium pauciflorum Stev. ex Ser.,Cerastium pauciflorum Steven ex Ser., + ,-
Brassicaceae (Cruciferae),Cardaria draba (L.) Desv. ,,-,+,,,,,,Caryophyllaceae ,Cerastium zhiguliense S. Saksonov ,,-,+
Brassicaceae (Cruciferae),Chorispora tenella (Pal) DC. ,,-,+,,,,,,Rosaceae,Cerasus fruticosa Pall. ,,-,+
Brassicaceae (Cruciferae),Clausia aprica (Steph.) Korn. Tr. ,,-,+,,,,,,Rosaceae,Cerasus vulgaris L.,,-,+
Brassicaceae (Cruciferae),Crambe aspera Bieb. ,,-,+,,,,,,Chenopodiaceae,Ceratocarpus arenarius L. ,,-,+
Brassicaceae (Cruciferae),Descurainia sophia (L.) Webb ex Pranti ,,-,+,,,,,,Ranunculaceae,Ceratocephala testiculata (Crantz) Bess. ,,-,+
Brassicaceae (Cruciferae),Draba nemorosa L. ,,-,+,,,,,,Ceratophyllaceae ,Ceratophyllum demersum L. ,,-,+
Brassicaceae (Cruciferae),Erucastrum armoracioides (Czern. ex Turcz.) Cruchet,,-,+,,,,,,Apiaceae (Umbelliferae),Chaerophyllum bulbosum L. ,,-,+
Brassicaceae (Cruciferae),Erysimum diffusum Enth.,,-,+,,,,,,Apiaceae (Umbelliferae),Chaerophyllum prescottii DC.,Chaerophyllum bulbosum subsp. prescottii (DC.) Nyman, + ,+
Brassicaceae (Cruciferae),Erysimum hieracifolium L.,,-,+,,,,,,Lamiaceae (Labiatae),Chaiturus marrubiastrum (L.) Reichenb. ,,-,+
Brassicaceae (Cruciferae),Hesperis matronalis L. ,,-,+,,,,,,Fabaceae (Leguminosae),Chamaecytisus ruthenicus (Fisch. ex Woloszcz.) Klásková,Chamaecytisus ruthenicus (Fischer ex Woloszczak) Klásk., + ,+
Brassicaceae (Cruciferae),Isatis tinctoria L. ,,-,+,,,,,,Onagraceae,Chamaenerion angustifolium (L.) Scop.,Epilobium angustifolium L., + ,+
Brassicaceae (Cruciferae),Lepidium densiflorum Schrad. ,,-,+,,,,,,Asteraceae (Compositae),Chamomilla suaveolens (Pursh) Rydb.,Matricaria discoidea DC., + ,-
Brassicaceae (Cruciferae),Lepidium latifolium L.,,-,+,,,,,,Papaveraceae ,Chelidonium majus L. ,,-,+
Brassicaceae (Cruciferae),Lepidium ruderale L.,,-,+,,,,,,Chenopodiaceae,Chenopodium acerifolium Andrz. ,,-,+
Brassicaceae (Cruciferae),Lepidium sativum L.,,-,+,,,,,,Chenopodiaceae,Chenopodium album L.,Chenopodium album L., + ,+
Brassicaceae (Cruciferae),Meniocus linifolius (Steph.) DC. ,,-,+,,,,,,Chenopodiaceae,Chenopodium foliosum Aschers.,,-,+
Brassicaceae (Cruciferae),Raphanus raphanistrum L. ,,-,+,,,,,,Chenopodiaceae,Chenopodium glaucum L.,,-,+
Brassicaceae (Cruciferae),Rorippa amphibia (L.) Bess. ,,-,+,,,,,,Chenopodiaceae,Chenopodium hybridum L.,,-,+
Brassicaceae (Cruciferae),Rorippa × anceps (Wahlenb.) Reichenb.,,-,+,,,,,,Chenopodiaceae,Chenopodium polyspermum L.,,-,+
Brassicaceae (Cruciferae),Rorippa × rmoracioides (Tausch) Fuss,,-,+,,,,,,Chenopodiaceae,Chenopodium rubrum L.,,-,+
Brassicaceae (Cruciferae),Rorippa austriaca (Crantz) Bess.,,-,+,,,,,,Chenopodiaceae,Chenopodium urbicum L.,,-,+
Brassicaceae (Cruciferae),Rorippa brachycarpa (C.A. Mey.) Hayek,,-,+,,,,,,Pyrolaceae,Chimaphila umbellata (L.) W. Barton ,,-,+
Brassicaceae (Cruciferae),Rorippa prolifera (Heuff.) Neilr.,,-,+,,,,,,Asteraceae (Compositae),Chondrilla graminea Bieb. ,,-,+
Brassicaceae (Cruciferae),Rorippa sylvestris (L.) Bess.,,-,+,,,,,,Asteraceae (Compositae),Chondrilla juncea L.,,-,+
Brassicaceae (Cruciferae),Schivereckia podolica (Bess.) Andrz. ex DC. ,,-,+,,,,,,Brassicaceae (Cruciferae),Chorispora tenella (Pal) DC. ,,-,+
Brassicaceae (Cruciferae),Sinapis arvensis L. ,,-,+,,,,,,Fabaceae (Leguminosae),Chrysaspis aurea (Poll) Greene ,,-,+
Brassicaceae (Cruciferae),Sisymbrium altissimum L. ,,-,+,,,,,,Fabaceae (Leguminosae),Chrysaspis spadicea (L.) Greene,Trifolium spadiceum L., + ,-
Brassicaceae (Cruciferae),Sisymbrium loeselii L.,,-,+,,,,,,Saxifragaceae,Chrysosplenium alternifolium L.,Chrysosplenium alternifolium L., + ,-
Brassicaceae (Cruciferae),Sisymbrium polymorphum (Murr.) Roth,,-,+,,,,,,Asteraceae (Compositae),Cicerbita uralensis (Rouy) Beauverd,Lactuca macrophylla subsp. uralensis (Rouy) N.Kilian & Greuter, + ,-
Brassicaceae (Cruciferae),Sisymbrium strictissimum L.,,-,+,,,,,,Asteraceae (Compositae),Cichorium intybus L. ,,-,+
Brassicaceae (Cruciferae),Syrenia cana (Pill. et Andrz.) Neilr. ,,-,+,,,,,,Apiaceae (Umbelliferae),Cicuta virosa L.,Cicuta virosa L., + ,+
Brassicaceae (Cruciferae),Thlaspi arvense L. ,,-,+,,,,,,Poaceae (Gramineae),Cinna latifolia (Trevir.) Griseb.,Cinna latifolia (Trevir.) Griseb., + ,+
Brassicaceae (Cruciferae),Velarum officinale (L.) Reichb. ,,-,+,,,,,,Onagraceae,Circaea × intermedia Ehrh.,,-,+
Butomaceae,Butomus umbellatus L.,Butomus umbellatus L., + ,+,,,,,,Onagraceae,Circaea alpina L.,Circaea alpina L., + ,+
Callitrichaceae,Callitriche hermaphroditica L.,Callitriche hermaphroditica L., + ,+,,,,,,Onagraceae,Circaea lutetiana L.,,-,+
Callitrichaceae,Callitriche palustris L. (= C. verna L.),Callitriche palustris L., + ,+,,,,,,Asteraceae (Compositae),Cirsium ciliatum (Murr.) Moench ,,-,+
Callitrichaceae,Callitriche cophocarpa Sendtn. ,,-,+,,,,,,Asteraceae (Compositae),Cirsium esculentum (Siev.) C.A. Mey.,,-,+
Callitrichaceae,Campanula bononiensis L. ,,-,+,,,,,,Asteraceae (Compositae),Cirsium heterophyllum (L.) Hill,Cirsium heterophyllum (L.) Hill, + ,+
Callitrichaceae,Campanula farinosa Andrz.,,-,+,,,,,,Asteraceae (Compositae),Cirsium incanum (S.G. Gmel.) Fisch.,,-,+
Callitrichaceae,Campanula persicifolia L.,,-,+,,,,,,Asteraceae (Compositae),Cirsium oleraceum (L.) Scop.,Cirsium oleraceum (L.) Scop., + ,+
Callitrichaceae,Campanula  rapunculoides L.,,-,+,,,,,,Asteraceae (Compositae),Cirsium palustre (L.) Scop.,Cirsium palustre (L.) Coss. ex Scop., + ,+
Callitrichaceae,Campanula sibirica L.,,-,+,,,,,,Asteraceae (Compositae),Cirsium polonicum (Petrak) Iljin,,-,+
Callitrichaceae,Campanula x sprygyinii Saksonov et Tzvel.,,-,+,,,,,,Asteraceae (Compositae),Cirsium serrulatum (Bieb.) Fisch.,,-,+
Callitrichaceae,Campanula trachelium L.,,-,+,,,,,,Asteraceae (Compositae),Cirsium setosum (Willd.) Besser,Cirsium arvense (L.) Scop., + ,+
Callitrichaceae,Campanula wolgensis P. Smirn.,,-,+,,,,,,Asteraceae (Compositae),Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten., + ,+
Campanulaceae,Adenophora liliifolia (L.) A. DC.,Adenophora liliifolia (L.) A.DC., + ,+,,,,,,Brassicaceae (Cruciferae),Clausia aprica (Steph.) Korn. Tr. ,,-,+
Campanulaceae,Campanula cervicaria L.,Campanula cervicaria L., + ,+,,,,,,Poaceae (Gramineae),Cleistogenes squarrosa (Trin.) Keng ,,-,+
Campanulaceae,Campanula glomerata L.,Campanula glomerata L., + ,+,,,,,,Ranunculaceae,Clematis integrifolia L. ,,-,+
Campanulaceae,Campanula latifolia L.,Campanula latifolia L., + ,+,,,,,,Lamiaceae (Labiatae),Clinopodium vulgare L. ,,-,+
Campanulaceae,Campanula patula L.,Campanula patula L., + ,+,,,,,,Caryophyllaceae,Coccyganthe flos-cuculi (L.) Fourr. ,Silene flos-cuculi (L.) Greuter & Burdet, + ,+
Cannabaceae,Humulus lupulus L.,Humulus lupulus L., + ,+,,,,,,Orchidaceae,Coeloglossum viride (L.) Hartm.,"Dactylorhiza viridis (L.) R.M.Bateman, Pridgeon & M.W.Chase", + ,-
Cannabaceae ,Cannabis ruderalis Janisch. ,,-,+,,,,,,Rosaceae,Comarum palustre L.,Comarum palustre L., + ,+
Cannabaceae ,Cannabis sativa L.,,-,+,,,,,,Apiaceae (Umbelliferae),Conioselinum tataricum Hoffm.,Conioselinum vaginatum (Spreng.) Thell., + ,+
Caprifoliaceae,Linnaea borealis L.,Linnaea borealis L., + ,-,,,,,,Apiaceae (Umbelliferae),Conium maculatum L.,,-,+
Caprifoliaceae,Lonicera altaica Pall. ex DC.,Lonicera caerulea subsp. altaica (Pall.) Gladkova, + ,-,,,,,,Ranunculaceae,Consolida regalis S.F. Gray ,,-,+
Caprifoliaceae,Lonicera pallasii Ledeb.,Lonicera caerulea subsp. pallasii (Ledeb.) Browicz, + ,-,,,,,,Convallariaceae,Convallaria majalis L.,,-,+
Caprifoliaceae,Lonicera xylosteum L.,Lonicera xylosteum L., + ,+,,,,,,Convolvulaceae ,Convonvulus arvensis L. ,,-,+
Caprifoliaceae ,Lonicera tatarica L. ,,-,+,,,,,,Asteraceae (Compositae),Conyza canadensis (L.) Cronquist ,,-,+
Caryophyllaceae,Cerastium davuricum Fisch. ex Spreng.,Cerastium davuricum Fisch. ex Spreng., + ,-,,,,,,Orchidaceae,Corallorhiza trifida Chatel.,Corallorhiza trifida Châtel., + ,-
Caryophyllaceae,Cerastium holosteoides Fries,Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet, + ,+,,,,,,Chenopodiaceae,Corispermum hyssopifolium L.,,-,+
Caryophyllaceae,Cerastium pauciflorum Stev. ex Ser.,Cerastium pauciflorum Steven ex Ser., + ,-,,,,,,Chenopodiaceae,Corispermum marschallii Stev.,,-,+
Caryophyllaceae,Coccyganthe flos-cuculi (L.) Fourr. ,Silene flos-cuculi (L.) Greuter & Burdet, + ,+,,,,,,Primulaceae,Cortusa matthioli L.,Primula matthioli (L.) K.Richt., + ,-
Caryophyllaceae,Dianthus deltoides L.,Dianthus deltoides L., + ,+,,,,,,Fumariaceae,Corydalis bulbosa (L.) DC.,Corydalis solida (L.) Clairv., + ,+
Caryophyllaceae,Moehringia lateriflora (L.) Fenzl,Moehringia lateriflora (L.) Fenzl, + ,+,,,,,,Fumariaceae,Corydalis intermedia (L.) Merat,,-,+
Caryophyllaceae,Oberna behen (L.) Ikonn. ,Silene vulgaris (Moench) Garcke, + ,+,,,,,,Betulaceae,Coryus avellana L.,,-,+
Caryophyllaceae,Sagina procumbens L.,Sagina procumbens L., + ,+,,,,,,Asteraceae (Compositae),Cosmos bipinnatus Cav. ,,-,+
Caryophyllaceae,Spergularia rubra (L.) J. et C. Presl (S. campestris (L.) Aschers),Spergularia rubra (L.) J.Presl & C.Presl, + ,+,,,,,,Rosaceae,Cotoneaster melanocarpus Fisch. ex Ledeb. ,,-,+
Caryophyllaceae,Stellaria alsine Grimm,Stellaria uliginosa Murray, + ,-,,,,,,Brassicaceae (Cruciferae),Crambe aspera Bieb. ,,-,+
Caryophyllaceae,Stellaria bungeana Fenzl,Stellaria bungeana Fenzl, + ,-,,,,,,Rosaceae,Crataegus chlorocarpa Lenné et C. Koch ,,-,+
Caryophyllaceae,Stellaria graminea L.,Stellaria graminea L., + ,+,,,,,,Rosaceae,Crataegus sanguinea Pall.,,-,+
Caryophyllaceae,Stellaria holostea L.,Stellaria holostea L., + ,+,,,,,,Rosaceae,Crataegus volgensis Pojark.,,-,+
Caryophyllaceae,Stellaria longifolia Muehl. ex Willd.,Stellaria longifolia Muhl. ex Willd., + ,-,,,,,,Asteraceae (Compositae),Crepis biennis L. ,,-,+
Caryophyllaceae,Stellaria media (L.) Vill.,Stellaria media (L.) Vill., + ,+,,,,,,Asteraceae (Compositae),Crepis paludosa (L.) Moench,Crepis paludosa (L.) Moench, + ,-
Caryophyllaceae,Stellaria nemorum L.,Stellaria nemorum L., + ,+,,,,,,Asteraceae (Compositae),Crepis pannonica (Jacq.) C. Koch,,-,+
Caryophyllaceae,Stellaria palustris Retz.,Stellaria palustris Ehrh. ex Retz., + ,+,,,,,,Asteraceae (Compositae),Crepis praemorsa (L.) Tausch,,-,+
Caryophyllaceae ,Agrostemma githago L. ,,-,+,,,,,,Asteraceae (Compositae),Crepis sibirica L.,Crepis sibirica L., + ,+
Caryophyllaceae ,Arenaria leptoclados (Reichenb.) Guss. ,,-,+,,,,,,Asteraceae (Compositae),Crepis tectorum L.,Crepis tectorum L., + ,+
Caryophyllaceae ,Arenaria serpyllifolia L.,,-,+,,,,,,Poaceae (Gramineae),Crypsis alopecuroides (Pill. et Mitt.) Schrad.,,-,+
Caryophyllaceae ,Cerastium zhiguliense S. Saksonov ,,-,+,,,,,,Poaceae (Gramineae),Crypsis schoenoides (L.) Lam.  ,,-,+
Caryophyllaceae ,Cucubalus baccifer L. ,,-,+,,,,,,Caryophyllaceae ,Cucubalus baccifer L. ,,-,+
Caryophyllaceae ,Dianthus acicularis Fisch. ex Ledeb. ,,-,+,,,,,,Cuscutaceae ,Cuscuta approximata Bab. ,,-,+
Caryophyllaceae ,Dianthus acicularis Fisch. ex Ledeb. ,,-,+,,,,,,Cuscutaceae ,Cuscuta campestris Yunck.,,-,+
Caryophyllaceae ,Dianthus andrzejowskianus (Zapal.) Kulcz.,,-,+,,,,,,Cuscutaceae ,Cuscuta epithymum (L.) L.,,-,+
Caryophyllaceae ,Dianthus borbasii Vandas,,-,+,,,,,,Cuscutaceae ,Cuscuta europaea L.,,-,+
Caryophyllaceae ,Dianthus campestris Bieb.,,-,+,,,,,,Cuscutaceae ,Cuscuta lupuliformis Krock.,,-,+
Caryophyllaceae ,Dianthus polymorphus Bieb.,,-,+,,,,,,Cuscutaceae ,Cuscuta monogyna Vahl,,-,+
Caryophyllaceae ,Dianthus pratensis Bieb.,,-,+,,,,,,Asteraceae (Compositae),Cyclachena xanthüfolia (Nutt.) Fresen. ,,-,+
Caryophyllaceae ,Dianthus stenocalyx Juz.,,-,+,,,,,,Cyperaceae,Cyperus fuscus L.,,-,+
Caryophyllaceae ,Dianthus versicolor Juz.,,-,+,,,,,,Cyperaceae,Cyperus glaber L.,,-,+
Caryophyllaceae ,Dianthus volgicus Juz.,,-,+,,,,,,Orchidaceae,Cypripedium calceolus L.  ,,-,+
Caryophyllaceae ,Eremogone biebersteinit (Schlecht.) Holub ,,-,+,,,,,,Woodsiaceae,Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh., + ,+
Caryophyllaceae ,Eremogone longifolia (Bieb.) Fenzl,,-,+,,,,,,Poaceae (Gramineae),Dactylis glomerata L.,Dactylis glomerata L., + ,+
Caryophyllaceae ,Eremogone micradenia (P. Smirn.) Ikonn.,,-,+,,,,,,Poaceae (Gramineae),Dactylis polygama Horvat.,,-,+
Caryophyllaceae ,Eremogone saxatilis (L.) Ikonn.,,-,+,,,,,,Orchidaceae,Dactylorhiza fuchsii (Druce) Soó,Dactylorhiza fuchsii (Druce) Soó, + ,-
Caryophyllaceae ,Gypsophila altissima L. ,,-,+,,,,,,Orchidaceae,Dactylorhiza hebridensis (Wilmott) Aver.,Dactylorhiza fuchsii subsp. hebridensis (Wilmott) Soó, + ,-
Caryophyllaceae ,Gypsophila juzepczukii Ikonn.,,-,+,,,,,,Orchidaceae,Dactylorhiza incarnata (L.) Soó,Dactylorhiza incarnata (L.) Soó, + ,-
Caryophyllaceae ,Gypsophila paniculata L.,,-,+,,,,,,Orchidaceae,Dactylorhiza maculata (L.) Soó,Dactylorhiza maculata (L.) Soó, + ,-
Caryophyllaceae ,Gypsophila zhegulensis A. Krasnova,,-,+,,,,,,Thymelaeaceae,Daphne mezereum L.,Daphne mezereum L., + ,+
Caryophyllaceae ,Herniaria glabra L. ,,-,+,,,,,,Solanaceae ,Datura stramonium L. ,,-,+
Caryophyllaceae ,Herniaria polygama J. Gay,,-,+,,,,,,Apiaceae (Umbelliferae),Daucus carota L. ,,-,+
Caryophyllaceae ,Lychnis chalcedonica L. ,,-,+,,,,,,Ranunculaceae,Delphinium cuneatum Stev. ex DC. ,,-,+
Caryophyllaceae ,Melandrium album (Mill.) Garcke ,,-,+,,,,,,Ranunculaceae,Delphinium elatum L.,Delphinium elatum L., + ,-
Caryophyllaceae ,Moehringia trinervia (L.) Clairv.,,-,+,,,,,,Ranunculaceae,Delphinium subcuneatum Tzvel.,,-,+
Caryophyllaceae ,Myosoton aquaticum (L.) Moench ,,-,+,,,,,,Poaceae (Gramineae),Deschampsia cespitosa (L.) Beauv.,Deschampsia cespitosa (L.) P.Beauv., + ,+
Caryophyllaceae ,Oberna procumbrns (Murr.) Ikonn.,,-,+,,,,,,Brassicaceae (Cruciferae),Descurainia sophia (L.) Webb ex Pranti ,,-,+
Caryophyllaceae ,Otites baschkirorum (Janisch.) Holub ,,-,+,,,,,,Caryophyllaceae ,Dianthus acicularis Fisch. ex Ledeb. ,,-,+
Caryophyllaceae ,Otites borysthenica (Grum.) Klok.,,-,+,,,,,,Caryophyllaceae ,Dianthus acicularis Fisch. ex Ledeb. ,,-,+
Caryophyllaceae ,Otites wolgensis (Hornem.) Grossh.,,-,+,,,,,,Caryophyllaceae ,Dianthus andrzejowskianus (Zapal.) Kulcz.,,-,+
Caryophyllaceae ,Psammophiliella muralis (L.) Ikonn. ,,-,+,,,,,,Caryophyllaceae ,Dianthus borbasii Vandas,,-,+
Caryophyllaceae ,Saponaria officinalis L. ,,-,+,,,,,,Caryophyllaceae ,Dianthus campestris Bieb.,,-,+
Caryophyllaceae ,Scleranthus annuus L. ,,-,+,,,,,,Caryophyllaceae,Dianthus deltoides L.,Dianthus deltoides L., + ,+
Caryophyllaceae ,Silene chlorantha (Willd.) Ehrh. ,,-,+,,,,,,Caryophyllaceae ,Dianthus polymorphus Bieb.,,-,+
Caryophyllaceae ,Silene dichotoma Ehrh.,,-,+,,,,,,Caryophyllaceae ,Dianthus pratensis Bieb.,,-,+
Caryophyllaceae ,Silene noctiflora L.,,-,+,,,,,,Caryophyllaceae ,Dianthus stenocalyx Juz.,,-,+
Caryophyllaceae ,Silene nutans L.,,-,+,,,,,,Caryophyllaceae ,Dianthus versicolor Juz.,,-,+
Caryophyllaceae ,Silene repens Patrin,,-,+,,,,,,Caryophyllaceae ,Dianthus volgicus Juz.,,-,+
Caryophyllaceae ,Silene tatarica (L.) Pers.,,-,+,,,,,,Rutaceae  ,Dictamnus gymnostylis Stev. ,,-,+
Caryophyllaceae ,Silene viscosa (L.) Pers.,,-,+,,,,,,Scrophulariaceae,Digitalis grandiflora Mill. ,,-,+
Caryophyllaceae ,Spergula arvensis L. ,,-,+,,,,,,Poaceae (Gramineae),Digitaria ischaemum (Schreb.) Muehl  ,,-,+
Caryophyllaceae ,Spergularia salina J. et C. PresI,,-,+,,,,,,Lycopodiaceae,Diphasiastrum complanatum (L.) Holub,Diphasiastrum complanatum (L.) Holub, + ,-
Caryophyllaceae ,Steris viscaria (L.) Rafin. ,,-,+,,,,,,Athyriaceae,Diplazium sibiricum (Turcz. ex G.Kunze) Kurata,Diplazium sibiricum (Turcz. ex Kunze) Sa. Kurata, + ,-
Caryophyllaceae ,Vaccaria hispanica (Mill.) Rauschert ,,-,+,,,,,,Woodsiaceae,Diplazium sibiricum (Turcz. ex G.Kunze) Kurata,,-,+
Celastraceae ,Euonymus europaea L. ,,-,+,,,,,,Brassicaceae (Cruciferae),Draba nemorosa L. ,,-,+
Celastraceae ,Euonymus verrucosa Scop.,,-,+,,,,,,Lamiaceae (Labiatae),Dracocephalum ruyschiana L. ,,-,+
Ceratophyllaceae ,Ceratophyllum demersum L. ,,-,+,,,,,,Lamiaceae (Labiatae),Dracocephalum thymiflorum L.,,-,+
Chenopodiaceae,Chenopodium album L.,Chenopodium album L., + ,+,,,,,,Droseraceae ,Drosera rotundifolia L. ,,-,+
Chenopodiaceae,Atriplex calotheca (Rafn) Fries ,,-,+,,,,,,Dryopteridaceae,Dryopteris assimilis S. Walker ,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy, + ,-
Chenopodiaceae,Atriplex patula L.,,-,+,,,,,,Dryopteridaceae,Dryopteris carthusiana (Vill.) H.P.Fuchs,Dryopteris carthusiana (Vill.) H.P. Fuchs, + ,+
Chenopodiaceae,Atriplex sagittata Borkh.,,-,+,,,,,,Dryopteridaceae,Dryopteris cristata (L.) A. Gray,,-,+
Chenopodiaceae,Atriplex tatarica L.,,-,+,,,,,,Dryopteridaceae,Dryopteris dilatata (Hoffm.) A. Gray,Dryopteris dilatata (Hoffm.) A. Gray, + ,-
Chenopodiaceae,Axyris amaranthoides L. ,,-,+,,,,,,Dryopteridaceae,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott, + ,+
Chenopodiaceae,Ceratocarpus arenarius L. ,,-,+,,,,,,Poaceae (Gramineae),Echinochloa caudata Roshev.  ,,-,+
Chenopodiaceae,Chenopodium acerifolium Andrz. ,,-,+,,,,,,Poaceae (Gramineae),Echinochloa crusgalli (L.) Beauv.  ,,-,+
Chenopodiaceae,Chenopodium foliosum Aschers.,,-,+,,,,,,Cucurbitaceae ,Echinocystis lobata (Michx. fil.) Torr. et Gray ,,-,+
Chenopodiaceae,Chenopodium glaucum L.,,-,+,,,,,,Asteraceae (Compositae),Echinops meyeri (DC.) Iljin ,,-,+
Chenopodiaceae,Chenopodium hybridum L.,,-,+,,,,,,Asteraceae (Compositae),Echinops ruthenicus Bieb.,,-,+
Chenopodiaceae,Chenopodium polyspermum L.,,-,+,,,,,,Asteraceae (Compositae),Echinops sphaerocephalus L.,,-,+
Chenopodiaceae,Chenopodium rubrum L.,,-,+,,,,,,Boraginaceae,Echium maculatum L. ,,-,+
Chenopodiaceae,Chenopodium urbicum L.,,-,+,,,,,,Boraginaceae,Echium vulgare L.,,-,+
Chenopodiaceae,Corispermum hyssopifolium L.,,-,+,,,,,,Elaeagnaceae ,Elaeagnus angustifolia L.,,-,+
Chenopodiaceae,Corispermum marschallii Stev.,,-,+,,,,,,Elatinaceae ,Elaetine alsinastrum L. ,,-,+
Chenopodiaceae,Kochia densiflora. (Moq.) Aell. ,,-,+,,,,,,Cyperaceae,Eleocharis acicularis (L.) Roem. et Schult.,,-,+
Chenopodiaceae,Kochia laniflora (S.G. Gmel.) Borb.,,-,+,,,,,,Cyperaceae,Eleocharis austriaca Hayek ,Eleocharis mamillata subsp. austriaca (Hayek) Strandh., + ,-
Chenopodiaceae,Kochia prostrata (L.) Schrad.,,-,+,,,,,,Cyperaceae,Eleocharis mamillata H. Lindb.,Eleocharis mamillata (H.Lindb.) H.Lindb., + ,+
Chenopodiaceae,Kochia scoparia (L.) Schrad.,,-,+,,,,,,Cyperaceae,Eleocharis ovata (Roth) Roem. et Schult.,,-,+
Chenopodiaceae,Krascheninnikovia ceratoides (L.) Gueldenst. ,,-,+,,,,,,Cyperaceae,Eleocharis palustris (L.) Roem. et Schult.,Eleocharis palustris (L.) Roem. & Schult., + ,+
Chenopodiaceae,Polycnemum arvense L. ,,-,+,,,,,,Cyperaceae,Eleocharis uniglumis (Link.) Schult.,,-,+
Chenopodiaceae,Salsola collina Pall. ,,-,+,,,,,,Hydrocharitaceae,Elodea canadensis Michx.,Elodea canadensis Michx., + ,+
Chenopodiaceae,Salsola tragus L. ,,-,+,,,,,,Lamiaceae (Labiatae),Elsholtzia ciliata (Thunb.) Hyl. ,,-,+
Cistaceae ,Helianthemum nummularium (L.) Mill. ,,-,+,,,,,,Poaceae (Gramineae),Elymus caninus (L.) L.,Elymus caninus (L.) L., + ,+
Cistaceae ,Helianthemum zheguliense Juz. ex Tzvel.,,-,+,,,,,,Poaceae (Gramineae),Elymus fibrosus (Schrenk) Tzvel. ,,-,+
Convallariaceae,Maianthemum bifolium (L.) F.W.Schmidt,Maianthemum bifolium (L.) F.W.Schmidt, + ,+,,,,,,Poaceae (Gramineae),Elymus intermedia (Host) Nevski,,-,+
Convallariaceae,Polygonatum odoratum (Mill.) Druce,Polygonatum odoratum (Mill.) Druce, + ,+,,,,,,Poaceae (Gramineae),Elymus lolioides (Kar. et Kir.) Nevski ,,-,+
Convallariaceae,Convallaria majalis L.,,-,+,,,,,,Poaceae (Gramineae),Elymus prunifera Nevski,,-,+
Convallariaceae,Polygonatum adoratum (mill.) Druce,,-,+,,,,,,Poaceae (Gramineae),Elymus repens (L.) Nevski,,-,+
Convolvulaceae ,Calystegia sepium (L.) R.Br. ,,-,+,,,,,,Poaceae (Gramineae),Elymus trichophora (Link) Nevski,,-,+
Convolvulaceae ,Convonvulus arvensis L. ,,-,+,,,,,,Poaceae (Gramineae),Elytrigia repens (L.) Nevski,Elymus repens (L.) Gould, + ,-
Crassulaceae,Hylotelephium triphyllum (Haw.) Holub,Sedum telephium L., + ,+,,,,,,Ephedraceae,Ephedra distachya L.,,-,+
Crassulaceae,Hylotelephium maximum (L.) Holub ,,-,+,,,,,,Onagraceae,Epilobium adenocaulon Hausskh.,Epilobium ciliatum Raf., + ,+
Crassulaceae,Hylotelephium stepposum (Boriss.) Tzvel.,,-,+,,,,,,Onagraceae ,Epilobium collinum C.C. Gmel.,Epilobium collinum C.C.Gmel., + ,-
Crassulaceae,Hylotelephium zhiguliense Tzvel.,,-,+,,,,,,Onagraceae,Epilobium hirsutum L.,,-,+
Crassulaceae,Sedum acre L. ,,-,+,,,,,,Onagraceae,Epilobium montanum L.,Epilobium montanum L., + ,+
